P. Name,P. Name Kepler,P. Name KOI,P. Zone Class,P. Mass Class,P. Composition Class,P. Atmosphere Class,P. Habitable Class,P. Min Mass (EU),P. Mass (EU),P. Max Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. Esc Vel (EU),P. SFlux Min (EU),P. SFlux Mean (EU),P. SFlux Max (EU),P. Teq Min (K),P. Teq Mean (K),P. Teq Max (K),P. Ts Min (K),P. Ts Mean (K),P. Ts Max (K),P. Surf Press (EU),P. Mag,P. Appar Size (deg),P. Period (days),P. Sem Major Axis (AU),P. Eccentricity,P. Mean Distance (AU),P. Inclination (deg),P. Omega (deg),S. Name,S. Name HD,S. Name HIP,S. Constellation,S. Type,S. Mass (SU),S. Radius (SU),S. Teff (K),S. Luminosity (SU),S. [Fe/H],S. Age (Gyrs),S. Appar Mag,S. Distance (pc),S. RA (hrs),S. DEC (deg),S. Mag from Planet,S. Size from Planet (deg),S. No. Planets,S. No. Planets HZ,S. Hab Zone Min (AU),S. Hab Zone Max (AU),P. HZD,P. HZC,P. HZA,P. HZI,P. SPH,P. Int ESI,P. Surf ESI,P. ESI,S. HabCat,P. Habitable,P. Hab Moon,P. Confirmed,P. Disc. Method,P. Disc. Year
KOI-98.01,Kepler-14 b,98.01,Hot,Jovian,gas,hydrogen-rich,non-habitable,2660.81,2669.52,,12.73,1.29,16.46,14.48,        655.2966,        655.2968,        655.2969,1289.0,1289.0,1289.0,,,,3451.7,-29.80,24.38,6.79,0.08,0.00,0.08,85.4,,KOI-98,,,Lyr,F,1.37,1.63,6395.0,3.986826,,2.270,12.1,525.25,19.1806,47.3331,-33.8,11.1542,1,0,1.463,3.501,-2.36,11.88,6.07,0.07,,0.15,0.00,0.07,0,0,0,1,tran,2011
KOI-99.01,,99.01,Cold,Neptunian,gas,metals-rich,non-habitable,,10.51,,3.40,0.27,0.91,1.76,       0.1803150,       0.1803151,       0.1803151,166.0,166.0,166.0,,,,2.8,-17.97,6.46,579.93,1.23,0.00,1.23,89.4,,KOI-99,,,Cyg,K,0.75,0.70,4992.0,0.274576,,8.900,13.0,201.83,19.6956,44.5311,-24.9,0.3032,1,0,0.406,1.033,1.64,2.23,0.91,0.26,,0.45,0.31,0.38,0,0,0,0,tran,2011
KOI-100.01,,100.01,Hot,Jovian,gas,metals-rich,non-habitable,,227.09,,19.00,0.03,0.63,3.46,        1448.814,        1448.814,        1448.815,1571.8,1571.8,1571.8,,,,7.5,-31.54,36.73,9.97,0.11,0.00,0.11,80.8,,KOI-100,,,Lyr,F,1.81,3.18,6630.0,17.530654,,1.470,12.6,1366.15,19.4119,39.1995,-34.7,15.4529,1,0,3.041,7.220,-2.40,15.14,-0.04,0.06,,0.10,0.00,0.05,0,0,0,0,tran,2011
KOI-102.01,,102.01,Hot,Neptunian,gas,metals-rich,non-habitable,,11.81,,3.63,0.25,0.90,1.80,        1442.756,        1442.757,        1442.757,1570.2,1570.2,1570.2,,,,2.9,-27.92,6.90,1.74,0.03,0.00,0.03,78.5,,KOI-102,,,Cyg,G,1.12,1.08,5838.0,1.213358,,2.500,12.6,354.18,19.9803,44.4357,-34.7,19.9285,2,0,0.825,2.020,-2.33,2.45,-0.85,0.22,,0.43,0.00,0.19,0,0,0,0,tran,2011
KOI-102.02,,102.02,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,,1.64,,1.19,0.97,1.16,1.17,        448.7271,        448.7272,        448.7273,1172.6,1172.6,1172.6,1222.9,1222.9,1222.9,1.6,-24.21,2.26,4.07,0.05,0.00,0.05,84.2,,KOI-102,,,Cyg,G,1.12,1.08,5838.0,1.213358,,2.500,12.6,354.18,19.9803,44.4357,-33.4,11.0752,2,0,0.825,2.020,-2.29,-0.22,-1.07,0.28,0.00,0.91,0.00,0.29,0,0,0,0,tran,2011
KOI-103.01,,103.01,Hot,Neptunian,water-gas,metals-rich,non-habitable,,9.50,,2.95,0.37,1.09,1.79,        57.90493,        57.90494,        57.90495,702.8,702.8,702.8,756.5,756.5,756.5,3.5,-23.96,5.61,14.91,0.12,0.00,0.12,88.8,,KOI-103,,,Cyg,G,0.92,0.95,5531.0,0.765793,,9.100,12.6,284.88,19.4456,37.7516,-31.2,4.4266,1,0,0.663,1.647,-2.11,1.59,-0.42,0.27,0.00,0.51,0.03,0.23,0,0,0,0,tran,2011
KOI-104.01,,104.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,,7.72,,2.32,0.62,1.43,1.82,        111.6324,        111.6325,        111.6325,828.1,828.1,828.1,883.2,883.2,883.2,4.8,-24.15,4.41,2.51,0.03,0.00,0.03,85.9,,KOI-104,,,Lyr,M0V,0.64,0.61,4238.0,0.107694,-0.120,6.100,12.9,194.18,18.7463,47.4971,-31.9,10.4808,1,0,0.261,0.688,-2.08,0.71,-0.50,0.31,0.00,0.60,0.02,0.25,0,0,0,0,tran,2011
KOI-105.01,,105.01,Hot,Neptunian,gas,metals-rich,non-habitable,,10.23,,3.35,0.27,0.91,1.75,        131.5645,        131.5645,        131.5645,862.8,862.8,862.8,,,,2.8,-25.13,6.37,8.98,0.08,0.00,0.08,88.8,,KOI-105,,,Cyg,G,0.85,0.96,5649.0,0.842013,,12.200,12.9,339.16,19.9291,44.8579,-32.1,6.3983,1,0,0.692,1.710,-2.20,2.18,-0.58,0.24,,0.46,0.02,0.21,0,0,0,0,tran,2011
KOI-107.01,,107.01,Hot,Neptunian,water-gas,metals-rich,non-habitable,,9.50,,3.10,0.32,0.99,1.75,        299.5774,        299.5775,        299.5775,1059.9,1059.9,1059.9,1113.0,1113.0,1113.0,3.0,-25.86,5.89,7.26,0.08,0.00,0.08,82.5,,KOI-107,,,Cyg,G,1.15,1.27,5919.0,1.776195,,3.800,12.7,456.09,19.6557,48.9824,-33.0,8.7983,1,0,0.994,2.427,-2.28,1.85,-0.69,0.25,0.00,0.49,0.01,0.21,0,0,0,0,tran,2011
KOI-108.01,,108.01,Hot,Neptunian,water-gas,metals-rich,non-habitable,,9.50,,2.94,0.37,1.10,1.80,        99.06618,        99.06619,        99.06620,803.8,803.8,803.8,857.5,857.5,857.5,3.6,-24.54,5.59,15.97,0.13,0.00,0.13,87.1,,KOI-108,,,Lyr,G,1.14,1.21,5975.0,1.674219,,3.400,12.3,366.10,19.2656,40.0645,-31.7,4.9618,2,0,0.963,2.345,-2.21,1.58,-0.50,0.27,0.00,0.51,0.02,0.22,0,0,0,0,tran,2011
KOI-108.02,,108.02,Hot,Neptunian,gas,metals-rich,non-habitable,,17.06,,4.46,0.19,0.86,1.96,        3.914323,        3.914323,        3.914324,358.4,358.4,358.4,,,,3.3,-21.92,8.48,179.60,0.65,0.00,0.65,89.4,,KOI-108,,,Lyr,G,1.14,1.21,5975.0,1.674219,,3.400,12.3,366.10,19.2656,40.0645,-28.2,0.9860,2,0,0.963,2.345,-1.45,3.21,0.27,0.22,,0.37,0.41,0.39,0,0,0,0,tran,2011
KOI-110.01,,110.01,Hot,Neptunian,water-gas,metals-rich,non-habitable,,9.50,,3.00,0.35,1.06,1.78,        255.0919,        255.0919,        255.0920,1018.2,1018.2,1018.2,1071.7,1071.7,1071.7,3.3,-25.62,5.70,9.94,0.10,0.00,0.10,86.5,,KOI-110,,,Lyr,F,1.22,1.21,6538.0,2.400160,,1.050,12.7,520.78,18.9704,46.0638,-32.8,6.6514,1,0,1.129,2.689,-2.32,1.68,-0.65,0.25,0.00,0.50,0.01,0.21,0,0,0,0,tran,2011
KOI-111.01,,111.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,,6.60,,2.14,0.67,1.44,1.76,        97.52785,        97.52786,        97.52788,800.6,800.6,800.6,855.4,855.4,855.4,4.4,-23.83,4.07,11.43,0.09,0.00,0.09,88.2,,KOI-111,,,Lyr,G,0.81,0.93,5711.0,0.825476,,12.900,12.6,296.18,19.1736,42.1668,-31.7,5.3891,3,0,0.684,1.684,-2.18,0.54,-0.53,0.30,0.00,0.64,0.02,0.26,0,0,0,0,tran,2011
KOI-111.02,,111.02,Hot,Superterran,rocky-water,metals-rich,non-habitable,,6.05,,2.05,0.70,1.44,1.72,        36.68781,        36.68782,        36.68782,627.0,627.0,627.0,681.6,681.6,681.6,4.3,-22.67,3.90,23.67,0.15,0.00,0.15,88.8,,KOI-111,,,Lyr,G,0.81,0.93,5711.0,0.825476,,12.900,12.6,296.18,19.1736,42.1668,-30.7,3.3045,3,0,0.684,1.684,-2.07,0.46,-0.40,0.32,0.00,0.66,0.05,0.29,0,0,0,0,tran,2011
KOI-111.03,,111.03,Hot,Superterran,rocky-water,metals-rich,non-habitable,,7.97,,2.36,0.61,1.43,1.84,        12.89624,        12.89625,        12.89625,482.8,482.8,482.8,537.9,537.9,537.9,4.8,-21.84,4.49,51.76,0.25,0.00,0.25,89.4,,KOI-111,,,Lyr,G,0.81,0.93,5711.0,0.825476,,12.900,12.6,296.18,19.1736,42.1668,-29.5,1.9590,3,0,0.684,1.684,-1.86,0.75,-0.11,0.33,0.00,0.60,0.14,0.33,0,0,0,0,tran,2011
KOI-112.01,,112.01,Hot,Neptunian,water-gas,metals-rich,non-habitable,,9.50,,2.86,0.41,1.16,1.82,        13.87477,        13.87477,        13.87478,491.7,491.7,491.7,545.8,545.8,545.8,3.9,-22.34,5.44,51.08,0.27,0.00,0.27,89.4,,KOI-112,,,Cyg,G,1.03,0.99,5853.0,1.034073,,2.400,12.8,359.34,19.7099,48.4956,-29.6,1.9346,2,0,0.761,1.862,-1.89,1.44,-0.14,0.30,0.00,0.52,0.13,0.30,0,0,0,0,tran,2011
KOI-112.02,,112.02,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,,1.68,,1.20,0.97,1.17,1.18,        468.1181,        468.1181,        468.1182,1185.0,1185.0,1185.0,1235.5,1235.5,1235.5,1.6,-24.28,2.28,3.71,0.05,0.00,0.05,85.9,,KOI-112,,,Cyg,G,1.03,0.99,5853.0,1.034073,,2.400,12.8,359.34,19.7099,48.4956,-33.4,11.2547,2,0,0.761,1.862,-2.30,-0.21,-1.07,0.28,0.00,0.91,0.00,0.29,0,0,0,0,tran,2011
KOI-113.01,,113.01,Warm,Jovian,gas,hydrogen-rich,non-habitable,,3229.45,,84.00,0.01,0.46,6.20,        1.572991,        1.572991,        1.572991,285.3,285.3,285.3,,,,17.6,-27.34,-,386.59,1.06,0.00,1.06,90.0,,KOI-113,,,Cyg,G,1.07,1.47,5500.0,1.774089,,8.800,12.4,395.81,19.4849,37.6716,-27.2,0.7377,1,1,1.011,2.514,-0.93,99.44,5.37,0.01,,0.02,0.78,0.29,0,0,1,0,tran,2011
KOI-115.01,,115.01,Hot,Neptunian,gas,metals-rich,non-habitable,,10.40,,3.38,0.27,0.91,1.75,        668.9204,        668.9204,        668.9205,1295.7,1295.7,1295.7,,,,2.8,-26.93,6.43,5.41,0.06,0.00,0.06,88.2,,KOI-115,,,Lyr,F,1.18,1.35,6398.0,2.739898,,3.170,12.8,590.04,19.1925,46.2762,-33.8,11.2593,3,0,1.212,2.902,-2.36,2.21,-0.79,0.23,,0.46,0.00,0.20,0,0,0,0,tran,2011
KOI-115.02,,115.02,Hot,Superterran,rocky-water,metals-rich,non-habitable,,5.22,,1.91,0.75,1.43,1.65,        462.1180,        462.1181,        462.1182,1181.2,1181.2,1181.2,1235.4,1235.4,1235.4,3.9,-25.28,3.63,7.13,0.08,0.00,0.08,88.2,,KOI-115,,,Lyr,F,1.18,1.35,6398.0,2.739898,,3.170,12.8,590.04,19.1925,46.2762,-33.4,9.3537,3,0,1.212,2.902,-2.34,0.33,-0.80,0.29,0.00,0.69,0.00,0.26,0,0,0,0,tran,2011
KOI-115.03,,115.03,Hot,Subterran,rocky-iron,no-atmosphere,non-habitable,,0.26,,0.64,0.98,0.63,0.63,        1240.334,        1240.334,        1240.334,1511.9,1511.9,1511.9,1554.4,1554.4,1554.4,0.3,-23.97,1.22,3.44,0.05,0.00,0.05,89.4,,KOI-115,,,Lyr,F,1.18,1.35,6398.0,2.739898,,3.170,12.8,590.04,19.1925,46.2762,-34.5,15.3531,3,0,1.212,2.902,-2.38,-0.42,-1.41,0.26,0.00,0.78,0.00,0.28,0,0,0,0,tran,2011
KOI-116.01,,116.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,,8.67,,2.47,0.58,1.42,1.87,        93.19283,        93.19285,        93.19286,791.6,791.6,791.6,846.8,846.8,846.8,5.0,-24.09,4.70,13.57,0.11,0.00,0.11,88.2,,KOI-116,,,Cyg,G,1.01,1.04,5865.0,1.148229,,5.200,12.9,398.24,20.0576,44.3376,-31.7,4.9947,4,0,0.801,1.960,-2.19,0.85,-0.44,0.29,0.00,0.58,0.02,0.25,0,0,0,0,tran,2011
KOI-116.02,,116.02,Hot,Superterran,rocky-water,metals-rich,non-habitable,,8.99,,2.52,0.56,1.42,1.89,        19.28630,        19.28630,        19.28630,533.9,533.9,533.9,589.2,589.2,589.2,5.0,-22.42,4.79,43.84,0.24,0.00,0.24,90.0,,KOI-116,,,Cyg,G,1.01,1.04,5865.0,1.148229,,5.200,12.9,398.24,20.0576,44.3376,-30.0,2.2716,4,0,0.801,1.960,-1.96,0.90,-0.15,0.32,0.00,0.57,0.10,0.29,0,0,0,0,tran,2011
KOI-116.03,,116.03,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,,0.53,,0.81,1.00,0.81,0.81,        263.5971,        263.5971,        263.5972,1026.5,1026.5,1026.6,1072.2,1072.2,1072.2,0.5,-22.80,1.54,6.17,0.07,0.00,0.07,87.7,,KOI-116,,,Cyg,G,1.01,1.04,5865.0,1.148229,,5.200,12.9,398.24,20.0576,44.3376,-32.8,8.4050,4,0,0.801,1.960,-2.27,-0.38,-1.24,0.28,0.00,0.90,0.01,0.29,0,0,0,0,tran,2011
KOI-116.04,,116.04,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,,0.81,,0.93,1.00,0.93,0.93,        43.21687,        43.21687,        43.21688,653.2,653.2,653.2,700.7,700.7,700.7,0.8,-21.12,1.77,23.98,0.16,0.00,0.16,89.4,,KOI-116,,,Cyg,G,1.01,1.04,5865.0,1.148229,,5.200,12.9,398.24,20.0576,44.3376,-30.8,3.4007,4,0,0.801,1.960,-2.10,-0.34,-1.02,0.30,0.00,0.96,0.05,0.32,0,0,0,0,tran,2011
KOI-117.01,,117.01,Hot,Neptunian,water-gas,metals-rich,non-habitable,,9.50,,2.93,0.38,1.11,1.80,        100.1405,        100.1405,        100.1405,805.9,805.9,805.9,859.7,859.7,859.7,3.6,-24.54,5.57,14.75,0.12,0.00,0.12,83.1,,KOI-117,,,Cyg,G,1.19,1.18,5949.0,1.564695,,2.300,12.5,387.90,19.8019,48.2086,-31.8,5.0323,4,0,0.932,2.272,-2.20,1.56,-0.50,0.27,0.00,0.51,0.02,0.22,0,0,0,0,tran,2011
KOI-117.02,,117.02,Hot,Superterran,rocky-water,metals-rich,non-habitable,,4.09,,1.71,0.82,1.40,1.55,        434.6375,        434.6375,        434.6376,1163.3,1163.3,1163.3,1216.8,1216.8,1216.8,3.3,-24.97,3.25,4.90,0.06,0.00,0.06,75.6,,KOI-117,,,Cyg,G,1.19,1.18,5949.0,1.564695,,2.300,12.5,387.90,19.8019,48.2086,-33.4,10.4953,4,0,0.932,2.272,-2.30,0.16,-0.85,0.29,0.00,0.74,0.00,0.27,0,0,0,0,tran,2011
KOI-117.03,,117.03,Hot,Superterran,rocky-water,metals-rich,non-habitable,,3.40,,1.58,0.86,1.36,1.47,        772.6890,        772.6890,        772.6890,1343.2,1343.2,1343.2,1396.2,1396.2,1396.2,2.9,-25.43,3.00,3.18,0.04,0.00,0.04,69.9,,KOI-117,,,Cyg,G,1.19,1.18,5949.0,1.564695,,2.300,12.5,387.90,19.8019,48.2086,-34.0,14.0091,4,0,0.932,2.272,-2.32,0.05,-0.96,0.28,0.00,0.78,0.00,0.28,0,0,0,0,tran,2011
KOI-117.04,,117.04,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,,1.25,,1.08,0.99,1.07,1.08,        227.1295,        227.1295,        227.1295,989.0,989.0,989.0,1038.3,1038.3,1038.3,1.2,-23.26,2.05,7.96,0.08,0.00,0.08,79.1,,KOI-117,,,Cyg,G,1.19,1.18,5949.0,1.564695,,2.300,12.5,387.90,19.8019,48.2086,-32.6,7.5819,4,0,0.932,2.272,-2.27,-0.28,-1.07,0.28,0.00,0.96,0.01,0.30,0,0,0,0,tran,2011
KOI-118.01,,118.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,,3.98,,1.69,0.83,1.39,1.54,        33.85295,        33.85295,        33.85296,614.5,614.5,614.5,668.0,668.0,668.0,3.3,-22.16,3.21,24.99,0.17,0.00,0.17,88.2,,KOI-118,,,Lyr,G,1.00,0.93,5906.0,0.944125,,2.100,12.4,286.50,19.1575,38.6496,-30.6,2.9681,1,0,0.725,1.771,-2.07,0.14,-0.53,0.32,0.00,0.74,0.06,0.31,0,0,0,0,tran,2011
KOI-119.01,,119.01,Hot,Neptunian,gas,metals-rich,non-habitable,,13.43,,3.90,0.23,0.88,1.86,        12.56015,        12.56016,        12.56016,479.6,479.6,479.6,,,,3.0,-22.90,7.42,49.18,0.25,0.00,0.25,88.8,,KOI-119,,,Cyg,G,0.89,0.94,5632.0,0.797620,,8.900,12.7,298.98,19.6373,46.0623,-29.5,1.9880,2,0,0.674,1.666,-1.85,2.70,-0.09,0.23,,0.41,0.15,0.27,0,0,0,0,tran,2011
KOI-119.02,,119.02,Hot,Neptunian,gas,metals-rich,non-habitable,,10.51,,3.40,0.27,0.91,1.76,        2.061652,        2.061652,        2.061652,305.3,305.3,305.3,,,,2.8,-20.63,6.46,190.31,0.62,0.00,0.62,89.4,,KOI-119,,,Cyg,G,0.89,0.94,5632.0,0.797620,,8.900,12.7,298.98,19.6373,46.0623,-27.5,0.8054,2,0,0.674,1.666,-1.11,2.23,0.22,0.29,,0.45,0.65,0.54,0,0,0,0,tran,2011
KOI-122.01,,122.01,Hot,Neptunian,water-gas,metals-rich,non-habitable,,9.50,,2.78,0.44,1.23,1.85,        109.2203,        109.2203,        109.2203,823.6,823.6,823.6,878.1,878.1,878.1,4.2,-24.52,5.28,11.52,0.10,0.00,0.10,86.5,,KOI-122,,,Lyr,G,1.06,1.09,5714.0,1.136328,,4.600,12.3,309.88,18.9655,44.3980,-31.9,5.6972,1,0,0.802,1.975,-2.19,1.30,-0.48,0.28,0.00,0.53,0.02,0.23,0,0,0,0,tran,2011
KOI-123.01,,123.01,Hot,Neptunian,water-gas,metals-rich,non-habitable,,9.50,,2.64,0.52,1.36,1.90,        457.8382,        457.8383,        457.8383,1178.5,1178.5,1178.5,1233.6,1233.6,1233.6,4.9,-25.98,5.02,6.48,0.07,0.00,0.07,87.1,,KOI-123,,,Lyr,G,1.05,1.43,5871.0,2.179768,,7.290,12.4,432.94,19.3595,40.2849,-33.4,11.0617,2,0,1.104,2.699,-2.30,1.05,-0.66,0.28,0.00,0.55,0.00,0.23,0,0,0,0,tran,2011
KOI-123.02,,123.02,Hot,Neptunian,water-gas,metals-rich,non-habitable,,9.50,,2.71,0.48,1.29,1.87,        93.11665,        93.11665,        93.11668,791.4,791.4,791.4,846.2,846.2,846.2,4.5,-24.29,5.15,21.22,0.15,0.00,0.15,90.0,,KOI-123,,,Lyr,G,1.05,1.43,5871.0,2.179768,,7.290,12.4,432.94,19.3595,40.2849,-31.7,4.9824,2,0,1.104,2.699,-2.19,1.17,-0.44,0.28,0.00,0.54,0.02,0.24,0,0,0,0,tran,2011
KOI-124.01,,124.01,Hot,Neptunian,water-gas,metals-rich,non-habitable,,9.50,,3.01,0.35,1.05,1.78,        228.2783,        228.2783,        228.2784,990.3,990.3,990.3,1043.8,1043.8,1043.8,3.3,-25.50,5.72,12.69,0.11,0.00,0.11,85.4,,KOI-124,,,Cyg,G,1.07,1.58,5899.0,2.712174,,7.200,12.9,627.10,19.5286,48.6028,-32.7,7.7307,2,0,1.230,3.004,-2.26,1.70,-0.64,0.26,0.00,0.50,0.01,0.21,0,0,0,0,tran,2011
KOI-124.02,,124.02,Hot,Neptunian,gas,metals-rich,non-habitable,,11.58,,3.59,0.25,0.90,1.80,        67.80435,        67.80436,        67.80437,731.1,731.1,731.1,,,,2.9,-24.56,6.83,31.72,0.20,0.00,0.20,87.7,,KOI-124,,,Cyg,G,1.07,1.58,5899.0,2.712174,,7.200,12.9,627.10,19.5286,48.6028,-31.3,4.2110,2,0,1.230,3.004,-2.16,2.41,-0.45,0.23,,0.44,0.03,0.21,0,0,0,0,tran,2011
KOI-127.01,,127.01,Hot,Jovian,gas,metals-rich,non-habitable,,84.59,,10.93,0.06,0.71,2.78,        472.9844,        472.9844,        472.9846,1188.1,1188.1,1188.1,,,,5.5,-29.11,20.89,3.58,0.05,0.00,0.05,90.0,,KOI-127,,,Cyg,G,1.11,1.04,5731.0,1.044823,,1.200,13.9,616.37,19.3072,44.3454,-33.4,11.8017,1,0,0.768,1.891,-2.29,8.57,-0.17,0.10,,0.17,0.00,0.08,0,0,0,0,tran,2011
KOI-128.01,Kepler-15 b,128.01,Hot,Jovian,gas,metals-rich,non-habitable,209.36,209.75,,10.76,0.17,1.81,4.41,        343.2042,        343.2043,        343.2043,1096.6,1096.6,1096.6,,,,35.3,-28.73,20.56,4.94,0.06,0.00,0.06,86.5,,KOI-128,,,Cyg,G,1.14,1.09,5786.0,1.194694,,2.100,13.8,606.90,19.7467,49.1401,-33.1,9.8576,1,0,0.820,2.013,-2.28,7.19,0.85,0.12,,0.17,0.01,0.08,0,0,0,1,tran,2011
KOI-131.01,,131.01,Hot,Jovian,gas,metals-rich,non-habitable,,59.79,,9.00,0.08,0.74,2.58,        537.5852,        537.5852,        537.5853,1226.8,1226.8,1226.8,,,,4.9,-28.83,17.17,5.01,0.06,0.00,0.06,90.0,,KOI-131,,,Cyg,F,1.17,1.13,6411.0,1.935307,,0.720,13.8,786.37,19.9398,43.4976,-33.6,10.0495,1,0,1.018,2.437,-2.35,7.01,-0.31,0.12,,0.20,0.00,0.10,0,0,0,0,tran,2011
KOI-135.01,Kepler-43 b,135.01,Hot,Jovian,gas,metals-rich,non-habitable,,79.54,,10.56,0.07,0.71,2.74,        914.6525,        914.6527,        914.6529,1401.1,1401.1,1401.1,,,,5.4,-29.76,20.17,3.02,0.04,0.00,0.04,88.8,,KOI-135,,,Lyr,F,1.23,1.20,6082.0,1.770768,,0.690,14.0,809.81,19.0161,46.6683,-34.2,14.5855,1,0,0.986,2.391,-2.34,8.27,-0.31,0.10,,0.17,0.00,0.08,0,0,0,1,tran,2011
KOI-137.01,Kepler-18 c,137.01,Hot,Neptunian,gas,metals-rich,non-habitable,17.15,17.16,,5.49,0.10,0.57,1.77,        128.2886,        128.2886,        128.2886,857.4,857.4,857.4,,,,1.8,-26.19,10.45,7.64,0.07,0.00,0.07,88.2,,KOI-137,,,Cyg,G,0.94,0.98,5385.0,0.721623,,8.500,13.5,428.59,19.8720,44.7463,-32.0,6.9535,3,0,0.648,1.619,-2.18,4.76,-0.56,0.16,,0.31,0.02,0.15,0,0,0,1,tran,2011
KOI-137.02,Kepler-18 d,137.02,Hot,Jovian,gas,metals-rich,non-habitable,16.52,16.53,,6.95,0.05,0.34,1.54,        53.62834,        53.62835,        53.62836,689.4,689.4,689.4,,,,0.8,-25.75,13.24,14.86,0.12,0.00,0.12,88.2,,KOI-137,,,Cyg,G,0.94,0.98,5385.0,0.721623,,8.500,13.5,428.59,19.8720,44.7463,-31.1,4.4942,3,0,0.648,1.619,-2.09,7.06,-0.59,0.12,,0.25,0.04,0.14,0,0,0,1,tran,2011
KOI-137.03,Kepler-18 b,137.03,Hot,Superterran,rocky-water,metals-rich,non-habitable,6.87,6.90,,2.01,0.85,1.71,1.85,        372.7392,        372.7392,        372.7393,1119.4,1119.4,1119.4,1175.4,1175.4,1175.4,5.9,-25.15,3.81,3.50,0.04,0.00,0.04,85.4,,KOI-137,,,Cyg,G,0.94,0.98,5385.0,0.721623,,8.500,13.5,428.59,19.8720,44.7463,-33.2,11.8665,3,0,0.648,1.619,-2.24,0.24,-0.66,0.30,0.00,0.67,0.01,0.26,0,0,0,1,tran,2011
KOI-138.01,,138.01,Hot,Jovian,gas,metals-rich,non-habitable,,326.92,,23.30,0.03,0.60,3.75,        76.50575,        76.50577,        76.50578,753.5,753.5,753.5,,,,8.4,-28.77,45.46,48.94,0.30,0.00,0.30,88.2,,KOI-138,,,Cyg,F,1.46,1.74,7060.0,6.748497,,1.650,14.0,1582.35,19.7294,44.5784,-31.5,3.1225,1,0,1.862,4.364,-2.25,18.81,0.91,0.05,,0.08,0.03,0.05,0,0,0,0,tran,2011
KOI-139.01,,139.01,Hot,Jovian,gas,metals-rich,non-habitable,,41.54,,7.34,0.11,0.77,2.38,        2.602605,        2.602606,        2.602606,323.6,323.6,323.6,,,,4.4,-22.57,13.98,224.80,0.76,0.00,0.76,89.4,,KOI-139,,,Cyg,G,1.18,1.16,5952.0,1.515156,,2.300,13.5,605.03,19.4435,44.6883,-27.8,0.8102,2,0,0.917,2.235,-1.23,5.66,0.83,0.15,,0.24,0.56,0.38,0,0,0,0,tran,2011
KOI-139.02,,139.02,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,2.95,,1.49,0.89,1.33,1.41,        716.0473,        716.0474,        716.0475,1317.9,1317.9,1317.9,1370.4,1370.4,1370.4,2.6,-25.22,2.83,3.34,0.05,0.00,0.05,85.4,,KOI-139,,,Cyg,G,1.18,1.16,5952.0,1.515156,,2.300,13.5,605.03,19.4435,44.6883,-33.9,13.4697,2,0,0.917,2.235,-2.32,-0.02,-0.98,0.28,0.00,0.80,0.00,0.28,0,0,0,0,tran,2011
KOI-141.01,,141.01,Hot,Neptunian,gas,metals-rich,non-habitable,,24.25,,5.43,0.15,0.82,2.11,        494.1383,        494.1384,        494.1385,1201.2,1201.2,1201.2,,,,3.7,-27.63,10.33,2.62,0.04,0.00,0.04,84.8,,KOI-141,,,Cyg,G,1.00,0.93,5425.0,0.676476,,2.200,13.7,442.06,19.2026,50.6516,-33.5,13.4691,1,0,0.626,1.562,-2.26,4.06,-0.55,0.18,,0.31,0.00,0.14,0,0,0,0,tran,2011
KOI-142.01,,142.01,Hot,Neptunian,gas,metals-rich,non-habitable,,14.55,,4.08,0.21,0.87,1.89,        92.70055,        92.70055,        92.70058,790.5,790.5,790.5,,,,3.1,-25.18,7.76,10.92,0.10,0.00,0.10,87.7,,KOI-142,,,Lyr,G,1.07,1.00,5621.0,0.890296,,1.600,13.1,389.83,19.4099,40.6694,-31.7,5.4236,1,0,0.713,1.762,-2.17,2.87,-0.43,0.22,,0.39,0.02,0.19,0,0,0,1,tran,2011
KOI-144.01,,144.01,Hot,Neptunian,water-gas,metals-rich,non-habitable,,9.50,,3.03,0.34,1.03,1.77,        148.3598,        148.3598,        148.3598,889.1,889.1,889.1,942.5,942.5,942.5,3.2,-25.05,5.76,4.18,0.05,0.00,0.05,85.4,,KOI-144,,,Cyg,K,0.86,0.80,4955.0,0.341821,,4.500,13.7,315.83,19.7683,39.2498,-32.2,8.8352,1,0,0.453,1.157,-2.15,1.73,-0.58,0.26,0.00,0.50,0.01,0.22,0,0,0,0,tran,2011
KOI-148.01,Kepler-48 b,148.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,,5.86,,2.02,0.71,1.44,1.70,        182.7399,        182.7399,        182.7400,936.7,936.7,936.7,991.2,991.2,991.2,4.2,-24.39,3.83,4.78,0.05,0.00,0.05,84.8,,KOI-148,,,Cyg,G,0.89,0.89,5190.0,0.513316,,9.400,13.0,286.27,19.9426,40.9490,-32.4,8.9379,3,0,0.550,1.389,-2.19,0.43,-0.65,0.30,0.00,0.66,0.01,0.26,0,0,0,1,tran,2011
